Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00047006,-0.012257,0.10022,0,0,0,55.785,0.39179,-0.0027323,-0.00075955,0.323,-0.022558,0.34492,0,0,0,0,0,0,package://VS 6577-E-G_new_coor_standup_gripper_v5_temp.SLDASM/meshes/base_link.STL,0.50196,0.50196,1,1,0,0,0,0,0,0,package://VS 6577-E-G_new_coor_standup_gripper_v5_temp.SLDASM/meshes/base_link.STL,,410590-0050-c001_drx_old-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.0075871,0.03734,0.10645,0,0,0,44.267,0.28548,-0.012987,-0.013929,0.25047,-0.073189,0.26167,0,0,0,0,0,0,package://VS 6577-E-G_new_coor_standup_gripper_v5_temp.SLDASM/meshes/link_1.STL,0.78431,0.98039,0.98039,1,0,0,0,0,0,0,package://VS 6577-E-G_new_coor_standup_gripper_v5_temp.SLDASM/meshes/link_1.STL,,410590-0050-c002_drx-2,Origin_joint_1,Axis_joint_1,X_joint,revolute,0,0,0.183,0,0,0,base_link,0,0,1,1,3.0543,-2.9671,2.9671,,,,,,,,
link_2,-0.068043780087778,0.014140910340166,0.158490980475755,0,0,0,43.3387438811875,0.977219187562445,0.00144844221271251,-0.021078642737214,0.940664030252845,-0.0372886990528127,0.0935514301099311,0,0,0,0,0,0,package://VS 6577-E-G_new_coor_standup_gripper_v5_temp.SLDASM/meshes/link_2.STL,0.784313725490196,0.980392156862745,0.980392156862745,1,0,0,0,0,0,0,package://VS 6577-E-G_new_coor_standup_gripper_v5_temp.SLDASM/meshes/link_2.STL,,410590-0050-c003_drx-2,Origin_joint_2,Axis_joint_2,Y_joint,revolute,-0.048,0.075,0.15,0,0,0,link_1,-1,0,0,1,3.4907,-1.7453,2.3562,,,,,,,,
link_3,0.054747,-0.045778,0.060447,0,0,0,37.594,0.31727,-0.0048815,0.0065087,0.26582,0.088578,0.16116,0,0,0,0,0,0,package://VS 6577-E-G_new_coor_standup_gripper_v5_temp.SLDASM/meshes/link_3.STL,0.78431,0.98039,0.98039,1,0,0,0,0,0,0,package://VS 6577-E-G_new_coor_standup_gripper_v5_temp.SLDASM/meshes/link_3.STL,,410590-0050-c004_drx-3,Origin_joint_3,Axis_joint_3,Z_joint,revolute,0,0.012264,0.36479,0,0,0,link_2,-1,0,0,1,3.4907,-2.0769,2.9496,,,,,,,,
link_4,0.0051846,-0.00064606,0.10645,0,0,0,14.917,0.062769,3.6977E-05,-0.001868,0.069443,-0.00032273,0.028683,0,0,0,0,0,0,package://VS 6577-E-G_new_coor_standup_gripper_v5_temp.SLDASM/meshes/link_4.STL,0.78431,0.98039,0.98039,1,0,0,0,0,0,0,package://VS 6577-E-G_new_coor_standup_gripper_v5_temp.SLDASM/meshes/link_4.STL,,410590-0050-c005_drx-2,Origin_joint_4,Axis_joint_4,A_joint,revolute,0.048,-0.09,0.198,0,0,0,link_3,0,0,1,1,5.236,-3.3161,3.3161,,,,,,,,
link_5,-0.00049422,2.4246E-07,0.0067098,0,0,0,0.34309,0.00034995,-1.2487E-09,-1.1371E-06,0.00030039,-1.4302E-09,0.00022745,0,0,0,0,0,0,package://VS 6577-E-G_new_coor_standup_gripper_v5_temp.SLDASM/meshes/link_5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://VS 6577-E-G_new_coor_standup_gripper_v5_temp.SLDASM/meshes/link_5.STL,,410590-0050-c006_drx_new-2,Origin_joint_5,Axis_joint_5,B_joint,revolute,0,0,0.207,0,0,0,link_4,1,0,0,1,5.236,-2.0944,2.0944,,,,,,,,
link_6,3.1956E-05,1.0191E-06,0.011587,0,0,0,0.068739,2.0616E-05,5.2203E-09,-2.8476E-08,2.0453E-05,-9.0808E-10,3.4376E-05,0,0,0,0,0,0,package://VS 6577-E-G_new_coor_standup_gripper_v5_temp.SLDASM/meshes/link_6.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://VS 6577-E-G_new_coor_standup_gripper_v5_temp.SLDASM/meshes/link_6.STL,,410590-0050-c006_2_drx_new-2,Origin_joint_6,Axis_joint_6,C_joint,revolute,0,0,0.052,0,0,0,link_5,0,0,1,1,8.3776,-6.2832,6.2832,,,,,,,,
gripper_body_link,6.5243E-15,8.0178E-14,0.003,0,0,0,0.001885,5.2779E-08,1.9953E-35,4.1685E-22,5.2779E-08,1.9842E-21,9.4248E-08,0,0,0,0,0,0,package://VS 6577-E-G_new_coor_standup_gripper_v5_temp.SLDASM/meshes/gripper_body_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://VS 6577-E-G_new_coor_standup_gripper_v5_temp.SLDASM/meshes/gripper_body_link.STL,,gripper_body_extruded-1,Origin_gripper_body_joint,Axis_gripper_body_joint,gripper_body_joint,fixed,0,0,0.0219999999999994,0,0,0,link_6,0,0,0,,,,,,,,,,,,
gripper_gear_right,-0.011853,0.017473,-0.79923,0,0,0,196.34,18.56,0.26433,0.20657,18.59,-0.78287,1.655,0,0,0,0,0,0,package://VS 6577-E-G_new_coor_standup_gripper_v5_temp.SLDASM/meshes/gripper_gear_right.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://VS 6577-E-G_new_coor_standup_gripper_v5_temp.SLDASM/meshes/gripper_gear_right.STL,,gripper_gear_right-2,Origin_gripper_gear_right_joint,Axis_gripper_gear_right_joint,gripper_gear_right_joint,revolute,-0.0105000000000263,0.0175575664610773,0.0484957779974575,0,0,0,gripper_body_link,0,-1,0,0,0,0,0,,,,,,,,
gripper_head_right,-0.011035027899171,0.0174728819694071,-0.842420319360891,0,0,0,196.338532376492,18.5599193146117,0.264332568164611,0.206568713064759,18.5903422885118,-0.782868960063179,1.65500543821654,0,0,0,0,0,0,package://VS 6577-E-G_new_coor_standup_gripper_v5_temp.SLDASM/meshes/gripper_head_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://VS 6577-E-G_new_coor_standup_gripper_v5_temp.SLDASM/meshes/gripper_head_right.STL,,gripper_head_right1-1,Origin_gripper_head_right_joint,Axis_gripper_head_right_joint,gripper_head_right_joint,fixed,-0.000818014467841976,0,0.043192254540952,0,0,0,gripper_gear_right,0,0,0,,,,,,,,,,,,
